turn,intersection,org,dst,length
46040,46038,9521,9561,20.89449582858087
46041,46038,9563,9520,17.68208341389406
46042,46038,9563,9561,26.39632509062472
46046,46045,9522,9521,18.830090608756308
46047,46045,9522,9583,12.75058316095319
46048,46045,9582,9521,19.379862318721997
46049,46045,9582,9583,25.297366007898326
46053,46052,9523,9522,26.350585937544917
46054,46052,9523,9595,21.99527925536413
46055,46052,9596,9522,16.46729728942774
46056,46052,9596,9595,27.986596531991115
46060,46059,9524,9523,25.997207749208457
46061,46059,9524,9611,19.44406924021999
46062,46059,9610,9523,17.932734835645867
46063,46059,9610,9611,27.334007483231314
46067,46066,9526,9524,28.92377170128229
46068,46066,9526,9624,20.635960899616627
46069,46066,9623,9524,21.59037589337843
46070,46066,9623,9624,29.210872844942557
46074,46073,9527,9526,24.636265001022714
46075,46073,9527,9641,18.814937309920442
46076,46073,9642,9526,16.380583915097652
46077,46073,9642,9641,25.21696635055818
46081,46080,9528,9527,30.720526904902474
46082,46080,9528,9659,21.542620289537293
46083,46080,9658,9527,19.180530265222636
46084,46080,9658,9659,24.776598833890084
46088,46087,9530,9528,22.840719784347595
46089,46087,9530,9671,18.424794594486798
46090,46087,16999,9528,16.011495937824332
46091,46087,16999,9671,27.036142813190132
46095,46094,9536,16998,24.455183164217598
46096,46094,9536,16997,13.388142648592407
46097,46094,9659,16998,23.151988831404584
46098,46094,9659,16997,25.113506790662143
46102,46101,9535,9536,35.352311375465206
46103,46101,9535,9642,20.24958996131807
46104,46101,9644,9536,25.433282346382256
46105,46101,9644,9642,30.70758645861079
46109,46108,9534,9535,29.465251819688344
46110,46108,9534,9625,20.008663563095837
46111,46108,9624,9535,22.00256229378376
46112,46108,9624,9625,27.919181191280657
46116,46115,9533,9534,23.831054687367033
46117,46115,9533,9612,15.998536898933729
46118,46115,9611,9534,17.212517720671475
46119,46115,9611,9612,24.60081086161
46123,46122,9532,9533,27.692382812451896
46124,46122,9532,9596,19.994601476235452
46125,46122,9597,9533,17.221441296769417
46126,46122,9597,9596,22.42750151995784
46130,46129,9583,9532,20.939693797477265
46131,46129,9583,9584,24.569744579927246
46132,46129,10211,9532,30.763920050661003
46133,46129,10211,9584,20.071371536906284
46137,46136,9531,9563,19.972983672970006
46138,46136,9531,10211,24.011914550889596
46139,46136,9564,9563,25.460939469805854
46140,46136,9564,10211,15.58838958875548
46144,46143,9537,9538,25.23903486980189
46145,46143,9537,9585,18.360469901974923
46146,46143,9584,9538,17.07699747334645
46147,46143,9584,9585,21.590332060363526
46151,46150,9538,9597,18.612313156488664
46152,46150,9539,9597,23.98185729061898
