id,from_x,from_y,to_x,to_y,length,out_ang,num_lanes,c_x,c_y,cluster,grid_x,grid_y,grid_nb
512,429868.9038171978,4583001.461502652,429970.8252431096,4583057.88662611,109.22396690785948,2.6829675576666587,3,429919.8645301537,4583029.674064381,2,1954.0,20831.0,102
513,429850.1900336961,4582991.9234757,429970.3747455669,4583057.554724786,129.66822593110498,-0.4600072479441128,3,429910.2823896315,4583024.739100244,2,1954.0,20831.0,102
514,429847.7154381173,4582972.558989856,429969.38126408914,4583038.697414325,133.57267587510847,-0.4725435279517951,2,429908.5483511032,4583005.62820209,2,1954.0,20831.0,102
516,432543.6724153326,4582814.546906582,432591.3395419828,4582820.687653776,47.6496085276876,3.138638304364765,2,432567.5059786577,4582817.61728018,1,1966.0,20830.0,210
593,432651.3327648137,4581709.629426807,432747.9786607157,4581719.681225968,96.55354005572126,0.010899181465646,3,432699.6557127647,4581714.655326387,1,1966.0,20825.0,205
594,432703.4471752408,4581723.3741391525,432747.3951453585,4581732.721847128,43.87797213813867,-3.1336616883180937,3,432725.4211602997,4581728.04799314,1,1966.0,20826.0,206
595,432566.411512964,4581667.102892003,432585.0514875012,4581688.693796013,22.67295896574764,0.9108772679967037,2,432575.7315002326,4581677.898344008,1,1966.0,20825.0,205
596,432572.8186371251,4581660.030921336,432592.9326865282,4581678.537929358,18.506432529733043,0.6655768170403525,3,432582.87566182663,4581669.284425347,1,1966.0,20825.0,205
597,432587.257619859,4581671.554326111,432620.0671693743,4581701.162141059,35.30018092002986,0.6992096452263311,3,432603.66239461664,4581686.358233585,1,1966.0,20825.0,205
598,432614.5324208091,4581694.07273942,432636.85116706986,4581713.698242442,21.03736090884521,0.6265223154584451,3,432625.69179393945,4581703.885490932,1,1966.0,20825.0,205
599,432565.3988359363,4581757.497000615,432585.4541381892,4581779.386372268,23.73894683768452,2.2830198529903893,2,432575.42648706277,4581768.441686442,1,1966.0,20826.0,206
600,432536.2432334331,4581775.00125337,432569.5678175142,4581794.753475344,33.95883078092324,2.7065786018141083,2,432552.90552547364,4581784.877364357,1,1966.0,20826.0,206
601,432470.044804156,4581766.686354442,432494.6220544182,4581788.353395732,26.85993594503435,-2.4550050009234745,2,432482.3334292871,4581777.519875087,1,1965.0,20826.0,199
602,432651.2835960487,4581635.525580507,432665.19310226536,4581655.784824029,19.59683227691326,1.1219345194389372,2,432658.23834915704,4581645.655202268,1,1966.0,20825.0,205
691,432551.97281512985,4582676.819863427,432627.818431276,4582696.433253367,77.02454672085489,0.2183450857716102,1,432589.8956232029,4582686.626558397,1,1966.0,20830.0,210
694,432552.2019887902,4582667.601714905,432654.876621209,4582677.321334249,102.52435921942636,-0.0363269468159173,2,432603.53930499963,4582672.461524578,1,1966.0,20830.0,210
737,432120.35225166,4581917.587841134,432130.06845368026,4581933.909618643,15.928356539828853,1.5252301196828852,3,432125.21035267017,4581925.748729888,1,1964.0,20826.0,191
738,432248.48030389607,4581755.435671898,432251.6503142232,4581829.073432884,73.63103010434375,-1.5684872666672762,1,432250.06530905963,4581792.25455239,1,1964.0,20826.0,191
739,432247.260809542,4581715.300885364,432253.4341162532,4581741.85908887,26.519531249912795,-1.5642563824005795,2,432250.3474628976,4581728.579987117,1,1964.0,20826.0,191
740,432248.4142768441,4581690.656903972,432254.4947221163,4581703.016192383,12.320312499437948,-1.5642563824001456,2,432251.4544994802,4581696.8365481775,1,1964.0,20825.0,190
741,432251.90866620495,4581479.762887724,432258.10026996216,4581670.261489573,190.49266312157877,-1.5697904779524383,2,432255.00446808356,4581575.012188649,1,1964.0,20825.0,190
742,432139.5740917618,4581631.065324895,432244.8558434176,4581682.789231359,112.7442648693516,0.4227155533701662,2,432192.2149675897,4581656.9272781275,1,1964.0,20825.0,190
743,432123.2139040523,4581346.485059158,432130.64530838886,4581611.091943167,264.578293756378,1.576206820303321,2,432126.92960622057,4581478.788501162,1,1964.0,20824.0,189
744,432011.6177846315,4581573.76815688,432114.68226098834,4581623.592054073,109.97724132919998,0.4149132908539703,2,432063.1500228099,4581598.680105476,1,1963.0,20825.0,181
745,431732.42949454335,4581469.0728129465,431838.173051626,4581533.50009827,121.18308562021365,0.5356072885674795,1,431785.3012730847,4581501.286455609,1,1962.0,20825.0,171
746,431862.4351032256,4581537.868830961,431976.9330008191,4581573.388991688,116.81478619558946,0.2572262050002836,2,431919.68405202235,4581555.628911325,1,1963.0,20825.0,181
747,431840.6475721848,4581595.414380674,431846.7809191525,4581699.194834099,103.77282888385596,-1.5695112894709344,2,431843.7142456686,4581647.304607387,1,1962.0,20825.0,171
749,431839.7365991595,4581549.111965104,431845.88237634994,4581571.460785976,22.31005859421457,-1.5642563823980904,2,431842.8094877547,4581560.286375539,1,1962.0,20825.0,171
