id,from_x,from_y,to_x,to_y,length,out_ang,num_lanes
512,429868.9038171978,4583001.461502652,429970.8252431096,4583057.88662611,109.22396690785949,2.6829675576666587,3
513,429850.1900336961,4582991.9234756995,429970.3747455669,4583057.554724786,129.66822593110498,-0.4600072479441128,3
514,429847.7154381173,4582972.558989856,429969.38126408914,4583038.697414325,133.57267587510847,-0.4725435279517951,2
516,432543.6724153326,4582814.546906582,432591.3395419828,4582820.687653776,47.6496085276876,3.138638304364765,2
593,432651.3327648137,4581709.629426807,432747.9786607157,4581719.681225968,96.55354005572126,0.010899181465646036,3
594,432703.4471752408,4581723.3741391525,432747.3951453585,4581732.721847128,43.87797213813867,-3.1336616883180937,3
595,432566.411512964,4581667.102892003,432585.0514875012,4581688.693796013,22.67295896574764,0.9108772679967035,2
596,432572.8186371251,4581660.030921336,432592.9326865282,4581678.537929358,18.506432529733043,0.6655768170403525,3
597,432587.257619859,4581671.5543261105,432620.0671693743,4581701.162141059,35.30018092002986,0.6992096452263311,3
598,432614.5324208091,4581694.07273942,432636.85116706986,4581713.698242442,21.03736090884521,0.6265223154584451,3
599,432565.3988359363,4581757.497000615,432585.4541381892,4581779.386372268,23.738946837684516,2.2830198529903893,2
600,432536.2432334331,4581775.00125337,432569.5678175142,4581794.753475344,33.95883078092324,2.7065786018141083,2
601,432470.04480415594,4581766.686354442,432494.6220544182,4581788.353395732,26.85993594503435,-2.4550050009234745,2
602,432651.2835960487,4581635.525580507,432665.19310226536,4581655.784824029,19.59683227691326,1.1219345194389372,2
691,432551.97281512985,4582676.819863427,432627.818431276,4582696.433253367,77.02454672085489,0.21834508577161021,1
694,432552.2019887902,4582667.601714905,432654.876621209,4582677.321334249,102.52435921942637,-0.0363269468159173,2
737,432120.35225165996,4581917.587841134,432130.06845368026,4581933.909618643,15.928356539828851,1.5252301196828852,3
738,432248.48030389607,4581755.435671898,432251.65031422314,4581829.073432884,73.63103010434375,-1.5684872666672762,1
739,432247.260809542,4581715.3008853635,432253.4341162532,4581741.85908887,26.519531249912795,-1.5642563824005797,2
740,432248.4142768441,4581690.656903972,432254.4947221163,4581703.016192383,12.320312499437948,-1.5642563824001456,2
741,432251.90866620495,4581479.762887724,432258.10026996216,4581670.261489573,190.49266312157874,-1.5697904779524385,2
742,432139.57409176184,4581631.065324895,432244.85584341764,4581682.789231359,112.7442648693516,0.42271555337016625,2
743,432123.2139040523,4581346.485059158,432130.64530838886,4581611.091943167,264.578293756378,1.576206820303321,2
744,432011.6177846315,4581573.76815688,432114.68226098834,4581623.592054073,109.97724132919998,0.4149132908539703,2
745,431732.42949454335,4581469.0728129465,431838.173051626,4581533.50009827,121.18308562021365,0.5356072885674795,1
746,431862.4351032256,4581537.868830961,431976.93300081906,4581573.388991688,116.81478619558946,0.2572262050002836,2
747,431840.6475721848,4581595.414380674,431846.7809191525,4581699.194834099,103.77282888385596,-1.5695112894709344,2
749,431839.7365991595,4581549.111965104,431845.88237634994,4581571.460785976,22.310058594214574,-1.5642563823980904,2
750,431839.7177679601,4581453.3580509005,431845.7270586002,4581524.957589357,71.59876049611027,-1.5709260872909154,2
751,431840.93264694,4581325.594070879,431848.2072100839,4581428.492404122,102.83184341743426,-1.5583968889744404,2
752,431841.51284656924,4581094.281499172,431848.6944024665,4581293.81438353,199.5008454008735,-1.5767194498483357,2
753,431850.7192028057,4581053.249162114,431866.737381463,4581069.091754953,10.62081443315392,2.2660498146792967,4
754,431812.7756702047,4581050.142541166,431827.7438467711,4581064.26511405,10.536224152652741,-1.9353996244541096,4
755,432263.27431808045,4581473.55878275,432381.6319501354,4581594.57432952,163.2744848156738,-2.3442442094112947,2
756,432132.1266014117,4581341.695378125,432246.74948303675,4581457.517856582,156.95204954638572,-2.3505751725284716,2
757,432002.55159054574,4581209.312401903,432096.87336068286,4581304.444587781,127.96565570885822,-2.351496015271856,2
758,431880.59563261067,4581085.462248026,431982.1507439256,4581186.267346896,137.09144782842853,-2.36024006556125,2
759,431876.70116151695,4581064.398567031,431983.43184830534,4581171.6471580025,145.30672115916232,0.7880269955071786,2
760,432007.7314495872,4581195.208407763,432110.3516202769,4581299.5090641305,140.3208457985962,0.794244878973748,2
761,432137.2978252617,4581328.947031851,432249.9745128606,4581440.688156741,152.68897079336597,0.7808883152845159,2
762,432389.22038028593,4581547.604586308,432397.4433365794,4581585.645547735,37.75211874210977,1.5116004274122607,2
763,431815.8949972585,4581019.938960174,431830.94697834516,4581035.327626179,9.634650816532123,-0.684577533743057,4
