id,x,y
55733,430213.98365540593,4582963.20455934
55761,428375.7396982915,4581949.5049386015
55838,429663.5040333493,4582844.212567792
55866,428572.5650011518,4581524.625649451
55894,429367.527192939,4582754.408731213
55924,431510.5201527768,4581390.804192898
55966,430223.25932201295,4582631.243933874
56134,431732.64896318386,4582483.550280911
56197,432248.7893693226,4582482.135717091
56305,432091.44163637864,4581512.198209195
56342,431774.3930470064,4581912.681191899
56451,431923.0443063255,4582888.018152151
56458,432032.1798558233,4582094.4012508625
56508,430247.8061177992,4581591.842810536
56535,430653.2619040395,4581955.050210221
56540,432322.9293250243,4582889.089248609
56581,430805.35589725355,4581168.744795057
56588,430865.5308641661,4581532.349309784
56603,429819.38312031655,4582354.403043522
56699,429268.25540410046,4583120.260244915
56738,428964.63411523245,4581536.327880698
56802,429743.83713630144,4581932.054435931
56812,431031.33678221516,4582620.676664374
56910,429250.51081882016,4582343.0244522365
57008,429986.65887513204,4581402.652659459
57061,429366.8463156183,4581953.316834206
57104,429947.2422996077,4581460.432102218
57171,429402.0456445603,4581552.928608492
57227,430120.50543864217,4581983.490714356
57334,430108.5606332731,4582355.361361639
57422,428926.3556773179,4583106.360631062
57562,428423.23496342,4582644.590671345
57642,428048.5103827798,4581524.776219508
57693,428305.4982343327,4582353.2348645795
57796,430215.7306995706,4581242.456893054
57891,430364.3401030519,4581150.309221344
57904,428957.847376508,4582770.768261477
58029,428934.1113946682,4582402.196586827
58160,430896.49828029936,4581095.164177908
58274,431249.7554880486,4581942.750758942
58307,428912.9872777297,4581950.138613589
58337,430864.65484217857,4582351.558306801
58365,428964.58660169825,4581115.594768529
68938,432659.63664489525,4582816.189312865
68940,429469.2159943606,4581356.8086755
68942,429691.4150066869,4583337.677871374
68945,429926.63047904195,4581352.346431117
68947,430296.36203979765,4581203.756003354
68949,430938.5367604129,4581106.159141348
68951,432646.28639469313,4581914.220454504
68953,430536.6778836562,4583006.2109574955
68955,431050.43724477803,4582926.37886499
68957,431273.4388508092,4582828.769178131
68959,430758.1082270424,4582916.261842263
68961,430632.05118158605,4582975.996337654
68963,431458.16406721325,4582816.041118695
68965,430095.3597043536,4583099.946618514
68967,432023.36406647024,4581013.206751327
68969,432130.01390533824,4581143.218527847
68981,432417.2309243723,4581427.981297311
68984,432669.0597545428,4581412.606655584
68987,432857.11246083264,4581584.419606625
68989,431587.1077627544,4580875.424826153
68991,432523.50509234326,4583135.037072837
68994,432706.8684442391,4582536.490956539
68997,432709.8115967715,4582409.677744463
68999,428074.24168015603,4582893.988390778
69001,429273.0808611289,4580930.721104023
69003,429250.9920943027,4581154.291955179
69005,429809.71072915505,4581516.56546764
69008,430462.1569819746,4581295.774866722
69010,430954.1299749172,4581167.624113555
69012,431313.64633428934,4580875.245187522
69015,430131.09661352314,4581175.385246283
69017,430565.9708431081,4581204.565816955
69019,430609.0374805958,4581207.878738471
69021,431177.70252275356,4581031.954415066
69025,430290.5382533392,4582761.61345732
69031,429744.94263288914,4581502.439546299
69060,432000.8678315906,4583155.052195671
69062,427956.4669643909,4582319.638248918
69065,427938.3448454595,4581298.421392627
69067,428260.30806421285,4581299.966807309
69069,428405.86748307967,4581174.116264383
69071,428413.0018209444,4581068.835135712
69073,428638.0770543046,4580924.062532065
69075,428757.48668806505,4580804.344412017
69077,428823.0997157069,4580571.316123822
69079,428777.92704198364,4580691.799886593
69081,427849.5348539091,4581934.500963043
69083,427932.5474318179,4582510.036661994
69085,427745.3795433989,4581696.240621274
69087,427718.94651309465,4581734.666524689
69089,428303.28618945397,4583003.457231006
69091,428184.78274903755,4582953.122722256
69093,429277.931495446,4583602.743659164
69095,429989.0803161307,4583187.200132198
69097,429592.44971057423,4583436.148989629
69099,429098.09403383563,4583658.018011389
69101,432724.73720386653,4582140.90676216
69103,428635.11749267176,4583248.692474893
69105,431159.8749156779,4582996.668800885
69107,432815.396973735,4581744.038789747
69109,428901.86813052325,4583511.826446367
69111,430994.1966937713,4581116.2916022455
69113,428865.23435513367,4583481.519500975
69115,432744.7182023085,4581778.856402262
69117,431786.56632117793,4580860.734325583
69119,431856.8625833567,4580853.454807308
69121,429540.50452253193,4581384.890816392
69123,429599.7115900521,4581434.69022157
69125,432383.66760578216,4583134.205846266
69127,432262.00016348873,4583167.939135966
69130,431719.3711578019,4583146.345299219
69132,431484.93188276794,4582945.972647471
69134,432327.37829679536,4581318.85594333
69136,432226.9750637672,4581196.157149524
69138,429304.49739067856,4580511.504557826
69140,429089.8791128879,4580557.429488427
69142,429303.7459841217,4580626.397865582
69144,429344.9076568875,4583472.909721458
69152,432805.38325895905,4581692.574064406
69154,431725.0817937019,4580892.03750573
69156,429288.6840478249,4581020.590781079
69158,429399.27858640085,4581287.257725439
69160,432861.843827394,4581519.240451459
69162,429875.4509524068,4583236.052140364
69165,431830.8916784632,4580867.680801236
69167,432520.0040395761,4581419.076897197
69169,428910.04629716586,4583541.152096399
69171,428938.1998844329,4583565.57140754
69173,430404.1479817475,4583006.96993453
69175,428308.49849441857,4582925.297980171
69177,429348.3842345842,4583389.481823288
69180,429441.8670551583,4583438.701437783
69182,430121.5816019417,4583080.441411366
69184,432763.1340073361,4581693.844999089
69186,432684.3600835461,4581892.619879937
69188,431203.2742157394,4582997.978657664
69190,431317.19394735363,4582833.375655769
69192,431384.8137143661,4582840.086530628
69194,431573.6371965331,4582804.71895047
69196,430882.47851679585,4582911.529177504
69199,430584.0846607263,4582995.067223036
69201,430481.7221844527,4583008.715137472
69203,430281.40534477565,4583052.85532685
69205,430177.8826250553,4583067.829446654
69207,431555.01387476205,4582853.408042346
69209,430345.8154527931,4583049.744555972
69211,427948.1026407978,4582414.396244625
69213,427937.7090745522,4582067.117819308
69215,429501.23160786025,4583418.791984564
69217,429140.492475821,4583648.391460751
69219,431445.82370861823,4580874.199902914
69221,431688.700080314,4580909.477193684
69223,432684.9213237112,4582955.981430725
69225,432720.2303292926,4582280.156423768
69227,432688.6137899338,4582010.942676896
69229,427883.88424913277,4581342.119458831
69232,427904.10127718764,4581955.080155553
69234,428252.6043636081,4582960.114881493
69236,427912.279161867,4582696.241637736
69238,428024.83234983013,4582711.495013935
69241,428459.4467885651,4581005.7930584205
69243,428551.71274492744,4581041.878739021
69246,428762.70154067053,4580893.32521942
69248,428798.73327733827,4580891.460811181
69250,428790.0739109225,4580759.950848801
69252,428817.2646794597,4580649.9554451
69254,429043.8945067573,4580582.285371266
69256,431127.0320865695,4581078.267580952
69258,429284.0961482208,4580662.684767311
69260,429342.7110982361,4581267.150220778
69262,430347.58854608313,4581188.094699203
69264,430426.1765904504,4581180.887629664
69266,430561.53817013255,4581124.586852523
69268,429776.52283715707,4581577.2789452635
69270,429822.98257405515,4581489.862525128
69272,429661.33942329534,4581469.032199254
69274,430970.9152330204,4581149.874062523
69276,431220.6620332419,4580983.582012927
69278,430040.7816516866,4581223.22495927
69280,429236.9649307427,4580479.827359052
69283,431872.9314394391,4583142.384508841
